Review,Rating
akhirnya sampe juga terimakasih,5
cs ramah pengemasan cepat begitu juga pengiriman sehari sampai dengan bebas ongkir dari semarang surabaya pengemasan aman dan rapi kemasan mochi juga dalam plastik vakum expired date msh seminggu lagi saya sarankan pesan yg oreo,5
keren kmrn pesan hari ini sudah sampai thx you,5
pengiriman cepat 1hari sudah sampai thanks ya seller next order lagi,5
packaging rapi dan aman tidak penyok isi aja kebalik2 mgkn krn pengiriman rasa selalu enak,5
mantap makasih,5
manis manis enak,5
thanks gan pesen hari itu langsung dikirim,5
orderjumat sore minggu siang sdh sampai padahal jauh pie susu kacang fresh packingnya aman sellernya baik rekomend order di toko ini,5
belum 2 hari udah abis mantul,5
barang ok produksi baru pengiriman cepat cuma sayang dari kurir nya handle nya agak kurang mungkin pie nya agak hancur jadi nya,5
mantaaapp,5
seller nya good respon fast delivery padahal aku pake yg bebas ongkir pesen tgl 15 sampe 18 dr denpasar ke bekasi produk sudah pasti okeh makasih yaaaa,5
pesanan dah sampai dikirim tanggal produksi terbaru,5
pengirimannya cepat meskipun pake free ongkir,5
produk telah diterima dengan baik terimakasih,5
kurang 1,3
deliverynya cepat sekali packing rapi harga reasonable,5
enaaaak uda pesanan ke sekian kali dan selalu sukaa sama pelayanan toko ini fast respon barang sesuai deskripsi really recommended seller,5
brng ditrima keadaan baik cepat respon dan pengiriman jg cepat smg aja rasa nya enak trima ksh seller,5
blm dicoba,5
eunakkk,5
gilakkk enak deh ketannya pulen babinya endul lengkap dngan temen2nya hioko lapchong uda gk bs berkata2 sorry yahgua mo ngabisin dulu,5
pesanan diterima dalam keadaan fresh dan dikemas dg rapi sangat bersih dan aman sangat recomended,5
ukuran besar paket tiba ontime pakaging sgt baik,4
enak isi melimpah pengiriman ke luar pulau aman,5
enak benerrr harga gak bs boongg worth it beneran deh ini super enak,5
enaakkk,5
barang sesuai iklan dan dikirim dlm waktu yg baik,5
suka suka suka mao order lg kalo udah abis enak fresh sampe dengan aman krn di vakum proses buatnya cepet seller ramah all good,5
suka banget bakal order lg,5
pesanan sudah sampai dan rasa nya mantab thx gan,5
enak bolunya ga kalah dgn yg beli di medan dan ini kejunya ga pelit,5
ga pernah bosen pesen truss seller bae bener pengiriman slalu tepat dan rasa kue slalu enak lembut,5
kulit bolunya mantap moistt yg rasa keju wenakkk,5
respon dan pengiriman cpt kualitas ok recomen bgt,5
bolunya agak lebih kering dari yg sebelumnya saya beli sih tapi filling nya oke ga pelit,4
order yg kedua kali tp bkn buat sy kt yg dikasih enak bolgul,5
selalu enak buat ngopi pagi hari,5
mantaaa aaappp,5
terima kasih barang sdh diterima dengan baik,5
dua hari sampai jogja tangerang aman langsng msk kulkas terimakasih seller,5
coba gak dichat gak tau deh dikirim kapan proses pengemasan cukup lama sampe 3 hari pengemasan tanpa bubble wrap untung tidak penyok,4
entah antri karena mendekati lebaran atau apa proses pengemasannya sampe 2 hari itu aja di chat duluan kalo gak dichat siapa yg tau dikirim kapan,4
pesanan diterima dengan amat baik packingan aman dengan kardus dan segel fragile food delivery adminnya ramah sukses buat adminnya dan tokonya terima kasih banyak,5
packing rapi iya meski agak sedikit bekas ketumpuk2 pengiriman cepat nyampe 3 hari dan masih ada sisa menjelang exp,5
pengiriman agak lama,3
anak suka banget,5
pengiriman cpt mksh sdh diterima sm kerabat,4
katanya fresh order tgl 6 dikirim tgl 7 sampe tgl 8 expired tgl 9 gila kali suruh nelen sehari,1
tetep enak walapun penyok karena pengiriman,5
pengemasan sebenarnya rapi pake kardus kartika sari tp ntah kenapa banana rollnya berantakan,4
hari ini sampai besok sudah tanggal exp coklat meleleh kemana2 rasanya pun sudah sedikit asam seperti basi,3
terima kasih ya pesananku udah sampe nihh baru dibuka satu udah langsung di foto,5
masih enak seperti dulu tapi sayang terkocok waktu pengiriman jadi gepeng gepeng,5
sayang kemasannya agak penyok tapi overall is good ga merubah rasa krn dimakan sendiri kecuali klo mau kasih ke orang kurang enak aja klo penyok kemasannya thankyou,5
enak banget khas caikue pontianak seller ramah recommended banget lah,5
enak dan ada bawa goreng nya wangi,5
rasanya enak next order lagi tks,5
pelayanan nya cepat penjual responsif,5
beli untuk temen2 kantor katanya enaaaak thanks seller,5
enak choipannya sy lebih suka yg bengkoang tp overall semuanya enak,5
enakkk kulit choipan nya tipis isinya banyak,5
belom dicoba tapi keliatannya enak dan besar2,5
choipan tiba dengan kondisi perfect tidak berantakan untuk rasa sesuai dengan yang ditulis di note dan setelah dicoba beh mantulllll banget nih isian padat tekstur kulitnya mantap betul ngak salah deh beli segini banyak untuk pengiriman sangat cepat hahahahahaha terima kasih seller,5
choipan udah sampai belum dicoba karena buat buka puasa semoga rasanya sesuai dengan harapan terima kasih pengiriman lumayan cepat,5
kecewa sama pelayanannya kali ini aku tulis minta tolong dianter pagi tp dianter sore minta buat yg ramadhan edition dikirim yg edisi biasa jd ga dapet ramadhan card samsek kaya ngasih brownies biasa bukan hampers kl mau cepet katanya di dm ig tp di ig dibales lewat tokped kl mau cepet padahal wkt pertama kali beli suka sm pelayanannya tp kok gini,4
gemeshhh bgtdpt 2 paperbag ma kartuny,5
tdk terlalu manis chewwy enak beli utk small hampers natal dsn utk sendiri so nice packagingnya plus bonus card natal,4
penjual responsive pengiriman cepat packaging aman sy suka cookiesnya uenaakkk tp sy cuma suka yg rasa original lotus biscoff yg lain kemanisan mnurut sy kalo yg original enaakkk bngt uda order berkali2,5
yummy sesuai fotonya team store excellent,5
enak bgt cookiesnyaa sukaaaaa ud repeat order hehehe,5
ini enak makasih ya seller,5
enaaaaaaaaaaaaaaaak,5
enakkkkk bgt n cepet bgt top thank you sis,5
gedeee bangett rasanya juga sesuai ekspektasi enak deh pokoknya,5
kuenya beneran enak lembut renyah sellernya juga ramah banget uda pasti bakal ro lagi,5
mantulll polll,5
cpt responnya lgsg dikiri tks mudah2an enak,5
enakkkkkk bisa langganan,5
mantabs keren pelayanannya ok banget,5
enak juga nastar nya rekomendasi ini,5
packingnya bagus pengiriman aman rasa biasa saja enak tapi nggak banget so so lah,5
trima kasih uda sampai,5
lumayan menurut saya terlalu manis,5
kuenya lumayan enak empuk meski bukan wisman krn susunya berasa manisnya juga pas cuma hrgnya agak dikurangi biar bs beli2 terus atau buat dijual lagi mksh,4
enakkkkkkkkkkkkkkkkkkkkkkkkkkk,5
sangat bagus penjual nya sangat ramah dan responsive sekali,5
yaass pienya sampai tujuan dgn selamat packing rapi pake bubblewrap jadi aman thanks a bunch yaaa bli,5
kurang fresh keliatan sudah lama,3
packing aman banget pia nya masih fresh kerasa respon penjual ramah dan baik banget harga paling murah bintang 7 deh kalo bisa,5
tq seller ramah n responsif banged pengiriman super cepat packaging aman tq,5
informative pelayanan ramah dan pengiriman cepat,5
barangnya oke kayanya original cuma pas nyampe dah kurang bagus kondisinya hehehe tapi masih okelah,4
cepet bgt sampai nya makasih seller sukses terus,5
mantaps packing super amannnn rasa pasti oke sampai bandung dgn kondisi baik,5
seller super responsive thank you,5
sampainya agak hancur sih cuma mungkin wajar yah pengiriman luar kota thanks seller dan pak kurir,5
puas banget dikirim udh di kasih buble dan kardus jd aman cm karena pesen dah mau lebaran jd lama di ekspedisi,5
respon penjual cepet bgt barang sampai tepat waktu mantab sip,5
barangnya aman dan baik tetapi tanggal expired tidak ada mohon selanjutnya dicantumkan,5
akhirnya yg di tunggu datang dah kek nunggu kepastian aja nunggu paket ini haha,5
agak kecewa karena lama sampainya tgl expired nya hari ini pula ketika paketnya sampai jadi sedih,4
pesan sabtu hr selasa br smpe pdhl jogja pwrjo ga dekat barng dua produk agak hancur,4
kurir entaraja super lelet barang telat jadi kondisi udah kurang enak,4
pengirimannya lambat takut exp dijalan,3
ori,5
paket sudah sya terima dgn baik dan sesuai keinginan terima kasih buat tokopedia dan seller jga buat kurirnya,5
oo,5
seller nya fast respon pengiriman nya juga cepat best lah,5
alhamdulillah pesanan kuenya sudah sampai mudah2an rasanya enak pengiriman lumayan cepat terima kasih untuk semuanya,5
respon penjual cepat,5
isi toples sedikit,4
alhamdullah paket dtang dengan mulus,5
bukan saya yang makan pacar saya tapi saya yang checkout,5
barang udh smpe dengan selamat paking rapi pake plastik bubble pengiriman cepat seler responsip,5
capat dan tepat thank you kaka,5
diterima dengan kondisi baik cepat sampai alhamdulillah puas belanja disini sellernya ramah,5
pengiriman cepat packing rapiaman daaaan bakpianya enak bangett expdate masi lama mantavvv pokonya mah makasi banyak seller,5
packing rapi dan aman seller responsif dan ramah,5
respon ok matur suwun,5
paket keterima dg baiik proses nya cpt seller sangat ramah dn bakpia msh fresh trmksh byk kak sukses selalu ya toko ini rekomended yaa,5
enak dan cepat sampai terimakasih,5
pancking rapi jadi tdk hancur bakpianyaa pokoknya toko ini the best,5
pesanan diterima dengan baik seller responsif terima kasih,5
sedih banget beli 2 pax tapi kok ga diliat expirednya kak padahal lagi mau bgt bakpia pas mau dimakan udah expired udah rusak bakpianya tolong diperhatiin tanggalnya kak sebelum dikirim,3
cemilan terfavorit nya krucil kirim lsg dari yogya expired nya 5hari,5
cepat sampai wrapping aman dan memuaskan thanks seller,5
matabbzz pokoknya,5
pelayanannya ramah dan cepaat,5
komplain saya gak direspon saya gak mau duit kembalikan kenapa tidak dikirim sisanya yg kurang,3
paket diterima dengan baik tanpa rusak dan sesuai ekspetasi terima kasih,5
barang diterima sesuai packing oke harga oke namun agak lama dipengiriman namun kue masih fresh enak lembut oke thanks,5
makasih kak spikoenya udah sampai cepet banget padahal pakek ekspedisi reguler terpercaya insyaallah akan order lagi lain waktu,5
cepat aman ramah,5
terima kasih sampai dg selamat,5
respon seller gercep hanya packing langsung memakai dus kuenya sehingga spikoe nya mblesek ketekan sehingga agak gepeng dan lebih padat pengiriman sicepat memang cepat,5
barang sudah sampai dengan baik dan cepat yaaaa,5
kue masih fresh oke,5
kue favorit buat oleh2 dari surabaya pelayanan cepat nggak repot2 lagi kalo pas pengen bisa pesan disini,5
seller ramah dan pengiriman cepat banget surabaya ke tangerang sukses selalu buat seller next order lagi,5
beli hari rabu jumat dah samp jkt oke bangett,5
diterima dalam keadaan baik kedatangan sesuai deskripsi,5
belum dicoba,5
packing rapi tidak pecah bentuk penampilan mantap semoga rasa nya jg mantap blm dicoba sih,5
ancur bgtu smpe,1
enakkkkkk bgt pas rasanyaaaa sukakkkkk,5
nastarnya lumayan enak dgn hrg segitu paking bagus rapi bublerapnya tebal sayang kurirnya anterajasangat kurang ajar brg lgsg dilempar kedalam melewati pagar rmh yg tinggi lsg pergi,5
sangat puas kuenya aman semua alhamdulillah,5
alhamdulillah nastarnya sudah diterima dg baik nastarnya enak harga terjangkau kesukaan suami penjual ramah amanah jangan ragu beli disini,5
enaaaak bangeeettt lembuutt nanasnya gak pelit lagi kasih nya mau pesen ahh buat lebaran,5
enak rasanya pas gak repot langsung makan bt lebaran mau order lg thx u,5
packing bagus brg sesuai deskripsi expired masih agak lama,5
seller responsif exp masih lama barang sesuai ga ada yg remuk pakai gosend will repurchase,5
pesanan sesuai thanks,5
fast respon rasanya juga enak pengemasannya juga menggunakan double wrapping terima kasih yaaa,5
mantaaabbb sesuai spec and seller responsive thanks kaaaaak,5
cept sampai cuman ya harga nya lebih maahal,5
sdh terima sesuai pesanan,5
enak rasanya renyah coklatnya kruncii recomended lah pengantaran jg cepat shg makanan fresh kita terima,5
ori tpi sayang packingnya kurang aman jdi sebagian penyok,5
pengiriman cepat pakai kardus dan bubble wrap mantap,5
sudah repeat order berkali kali dan selalu memuaskan pokoknya sukses terus ya,5
seperti biasa selalu puas belanja disini sukses terus ya kak,5
paketnya sdh sampai dgn selamat terima kasih yaa,5
ukuran kecil rasa biasa aja,3
ga perlu ke malang kalo kangen pia enak ini bungkusnya rapi ngirim cepat dan barang fresh banget serasa belanja sendiri ke malang,5
all good packaging taste delivery services thanks a lot,5
exp nya sama dengan yg 2hr lalu pesan gpp deh yg penting sampai dgn selamat,4
enak bangettt inii,5
kirain isinya sama 250gram eh yg hokaido isi nya cuma 100gr bukan 250gr,3
pesanan sudah sampai dan tidak mengecewakan,5
barang diterima dengan baik thank you seller,4
cepet sampe nya,5
aaaaaaa seneng banget dapet ㅠㅠ terimakasih dan sukses selalu seller,5
agak hambar tapi enak ringan banget gak kaya kue biasanya,4
untuk kedua kalinya pesen cookies ini jujur buat orang yg lagi jaga pola makan dan jaga gula seperti aku cookies ini cocok banget untuk di jadikan cemilan di saat laper,5
enak cookiesnya pengiriman cepat dan aman,5
fast respon packagingnya bagus banget barang sampai tepat waktu tks banyak,5
enakk bangettt sukaa packaging nyaa juga baguss siii harganya segitu termasuk murah cookies nya lembut,5
enak bgt kuenya,5
cookiesnya enak,5
produknya servicenya terutama puaaass bangeett,5
baguss sukaa,5
cepet bgt sampe kaget thank you ya kak,5
enaaak coklatnya enak chewy nya dapet manisnya pas sih kalau di aku,5
enak banget super worth the price bakal pesen lagi,5
packing juara bgt makasih gan,5
responsif sellernya aman belum dicoba si hehe tapi packagingnya aman makasii seller,5
proses cepat saya pake buat susulan parsel terkejar packing aman bgt sampe dalam kondisi mulus thanks seller sukses ya,5
kue mantap n seller responsif kurir anter aja sudah tau roti maen lempar aja,5
rasanya lumayan tapi menurut sy wysmannya ngga terasa lbh ke rasa nanasnya karna filling nanas lbh byk,4
penasaran sama nastar wisman ternyata mank enak paduan rasanya dapet semua baru dibuka ngga lama abis ma bocah untuk packing super aman dan rapi trims ya toko kriuk jaya next order lagi,5
uenaaakk tenanrespon n pengiriman cepat packing aman,5
fast respon pengiriman cepat packing aman mendarat dgn selamat dan ga remuk blm dicoba semoga enak nanti 1 bintang menyusul,4
kurang maknyuss,2
fast accurate as described recommended aaa seller,5
my fav cookies,5
choco cookie yg lekker banget sayang sy salah pilih toping pilih rock salt jd ada asin2 gitu next pasti order lg dg toping yg lain,5
uenake poll akan repeat order,5
edannnnnn bgtttt enak sekali seller ramah dan responsif makasih banget bonusnya sukses terus ya,5
seller ramah pelayanan maksimal,5
really good quality and premium dark chocolate cookies must try,5
sudah pernah beli sblmnya enak dengan apel yg manisnya pas,5
selalu enak rekomended,5
respon toko ok kurir lelet sameday 12jam,4
enak tp ukurannya imut 15x8 cm sekali lahap habis deh,5
semua item sesuai orderan seperti biasa selalu prosesnya cepat packing dan kirim rapi untuk rasa dan kualitas rotinya keluarga kita cocok chewy tp lembut teksturnya challa selalu masuk item yg diorder setiap belanja di sinu thaaanks n sukses selalu,5
kuenya enak dan berkualitas harganya pun lumayan murah proses dan pengiriman juga cepat pokoke oke,5
selalu enak manisnya pas pastry nya sesuai dgn selera saya wanginya menggoda,5
enaakkk bgt wangiiinyaa menusukk dihidung menggugah wanginya lembuutt enaakkk bangeett suksessss yah grandpas store di jakbar,5
selalu puas belanja pia di sini thankyou ya,5
cepat responnya mantap,5
thankyou gan,5
thankyou gan selalu langganan di sini,5
diterima sesuai pesanan respon seller baik dan proses pengiriman cepat,5
wah mantap ini orisesuai aplikasi di kemas sangat baik ya pakai bubble dan dus pengirimnya juga baik bagus aman re order lagi,5
selalu puas blj disini pengiriman cepat good seller,5
top bintang berbicara,5
udah dua kali order disini emang suka banget sama pia mangkok udah lama ga ke malang jadi beli online wkwk,5
alhamdulilah paket sudah sampai tidak ada damage sama sekali ada bubble wrap tebal juga plus dapat photocard bangtan terimakasih seller terimakasih tokopedia,5
dari toko nya pengiriman barang baik dan kemasan aman barang sangat baik sesuai dg gambar dan nilai bermanfaat nya lebih tinggi dari harganya saya pasti belanja lagi umi jember,5
produk diterima dengan baik dan aman expired masih lama,5
tumben ini x agak cepet pengiriman nya semoga seperti ini pengiriman nya cepat,5
terima kasih tokopedia packaging super rapi dan pengiriman super cepat akhirnya sampai hari terakhir event masih bs dpt pc bts thankyou,5
biar bintang yg berbicara hehehe pokoo nya puas,5
saya tidak ada masalah dengan kualitas barangnya yang membuat saya kecewa adalah alur kerja dari tokocabang yang tidak bisa membatalkan pesanan sesuai penjelasan admin udah gitu adminnya sendiri jarang baca chat padahal sering online seharusnya 1 kalau memang tokocabang tidak bisa membatalkan pesanan harus ada notifikasi khusus di tokopedianya 2 admin harap lebih sering merespon chat terutama jika ada kasus2 seperti ini gimana kalau pesanan harus batal karena alamatnya salah apa iya tidak bisa dibatalkan juga kok jadi ribet ya dengan adanya tokocabang,1
enak cakenya dapat pc yeay,5
barang sampai dengan selamat dapet pc bangtan juga siip terimakasih seller,5
sesuai pesanan cepet banget kemarin pesen hari ini sampe makasihh,5
order ke sekian kalinya selalu puas belanja disini harga lebih murah packing rapi pengiriman cepat rekommended seller,5
enak renyahpackingnya rapi aman banget sangat puas,5
alhamdulillah dapet pc bts puas bgt sama pelayanan tokonya fast respon paketnya aman rapih trus cepet bgt nyampe pesen kemaren skrg udh nyampe btw cookies nya enakkkk,5
pengiriman cepat packing super aman,5
produk ok lain kali kalau serahkan barang ke kurir jangan terlalu malam karena sampainya ke penerima jadi molor 1 hari,5
1 kotak kardus pengiriman tidak ada tanda stiker makanan jadi kurir tidak hati hati dan pengiriman dengan cara di lempar ke pagar 2 pemesanan pengiriman hingga diterima membutuhkan 4 hari padahal sudah bayar untuk pengirman express,3
sdh minta expired datenya lamaan ini tinggal 2 hari lg kadaluarsa dr paketnya sampai gimana sih mba sy sdh pesen di catatan,3
tepat waktu pengirimannya kemasan siip,5
kurang kering,4
cheese roll sampai dengan selamat tidak hancur rasanya enak,5
chesse roll kesenangan anak2 aku kl kita ke bandung pasti mampir ke kartika sari buat beli oleh2 makasih ya ks paketnya udah di trima,5
alhamdulillah aman,5
cepat sampai dengan baik,5
ga ngerti lagi enak banget,5
parah enak banget gangerti lagi sea saltnya itu lovs bgttt,5
enakkk bgt bgtttt,5
selalu puas dengan cookies favorite ku bukan cuma enak aja tapi enak banget ditambah seller ramah dan respond cepat dijamin ro teruuussss,5
too sweet tp tekstur cookies nya ok,2
udah coba yg ini rasanya enak hanya manis banget yang lainnya masih blom coba,4
respon cepat sangat ramah sesuai pesanan dan higienis nyambung dengan namanya endorphins jadi cookies nya manis bagi saya sedikit terlalu manis tapi wangi matcha nya dapet garam nya buat cookies nya jadi tidak biasa,5
enaaaaaaak bingiiiit,5
mantepp bgt enak bgt,5
udah agak remuk2,2
packingannya tipis,3
barang sesuai tpi packingnya krg baik shg isinya ancur,4
respon cepat barang mulus sesuai deskripsi thx ya,5
selalu puas beli disini,5
rasanya sedap,5
produk dan layanan ok banget thanks ya,5
rasanya mantul,5
dua2nya pecah chat seller katanya mau diganti tp ditunggu sampai hari ini gak ada padahal ud langganan disini klo pas sincia,2
senang kuenya sudah datang masih lembek mudah2an rasanya enak terima kasih,5
ok cpt pengirimannya,5
trimaksh kue nya sdh sampe kmrin maaf telat kue ny enak manis biarpun agak lengket sukses sllu,5
barang sesuai deskripsi seller cepat tanggap terima kasih,5
pengirimman di packing rapi dan admin ny juga ramah thx seller,5
paket datang sesuai pesanan bintang yang bicara,5
selain saya sengaja gunakan kotak kalau dilihat dari packaging bubble wrap juga lumayan tebal akan tetapi kenapa produknya di dalam bisa terbelah dan tidak hanya satu tapi keduanya padahal kotaknya baik baik saja jadi ragu akan higienisnya kalau seandainya memang dari awal sebelum packaging sudah seperti ini keadaannya yaitu terbelah terbuka dgn kondisi plastiknya pecah besar kemungkinannya di bagian terbuka tersebut bisa terkontaminasi sesuatu not recommended sudah ikuti saran anda buat chat tapi jangankan anda respon sengaja niat untuk dibaca saja enggak dari 22 feb s d hari ini 4 maret 2021 jadi jangan cuma buat modus seolah kalian perduli dilihat buyer atau calon buyer lain di jawaban review saya ini padahal gak ada itikad baiknya sama sekali kalau kalian merasa diuntungkan oleh review yang baik jangan dijadikan pembenaran untuk seperti ini saya beli hanya dua dan sengaja pilih pakai kotak supaya terjamin kualitasnya jangan kalian pikir cuma nilai transaksinya 35 ribu konsumen gak akan komplain saya juga gak minta uang balik tapi minta penjelasan yang jujur transparan bukan ngomong doang,1
luar biasa enak seperti biasanya,5
sy suka banget,5
sellernya baik packingnya rapiii dan yg pasti rasa cookiesnya enaaaakkkkk suka suka suka,5
paking rapih fast respon pengiriman cepat sukses sll,5
paket sdh sampai dgn aman packing rapi bgt pk box dikemas satu satu recommaded thx seller toped dan kurir,5
klo mau sampai dg aman sentosa pakai tambahan bubble wrap krn setiap cookie akan di wrap dg bubble satu persatu hanya 2 rb tp aman tdk ada yg remuk utk tekstur sesuai dg namanya soft cookie lembuutt utk rasa uenaaakk varian ini the best utk lidah saya love it harga muraaahh bingiiittsss harga kaki lima rasa bintang lima,5
rasa sesuai harga,4
cookies udah datang enak gan bahan bikin cookies kualiti bagus makasi gan,5
paket sampai dengan selamat walau sudah pakai 1 day service juga sudah double bubble wrap di dalem juga di luar oleh seller masih aja bubuk wkwkwk tpi enak sih,5
enak tp hancur semua,5
seller respond cepat pengiriman pun cepat,5
beli 4 tapi 1 remuk dikit 1 remuk aga parah tp gpp lah masih bisa dimakan masih enak hahaha namanya jg uda kangen,4
order kedua kalinya enak sih suka green tea dan originalnya sukses terus,5
rasanya enak dan sampai dengan aman pakai gojek sameday,5
almondnya renyah,5
keren pengirimannya cepet sampe semoga kuenya enakkk,5
dari 3 kotak 2 kotak isinya hancur,3
respon pengiriman paket aman sampai rmh mksh seller n abang gosendnya,5
belom nyicipin masih puasa semoga enak,5
gapernah mengecewakan,5
barang dampai sesuai pesanan trims,4
enak packing aman puas,5
enak packing bagus puas,5
packing rapih dan aman,5
sip rasanya harga kd pelayanan baik pengiriman cepat packing dg kabel ties suka thxu,5
fast response fast delivery jempolsss,5
insyaallah bermanfaat seller amanah,5
sukakk langsung sampe baru pesan,5
enak kuenya cepat diantarkan dan aman sampai tanpa rusak kuenya terima kasih yaaaa,5
mantaaappss,5
pengiriman sangat rapih aman antara kue dibatasi bublewrap semua,5
gak sampe 500gr ya cuma 335gr,4
barang oke dari tahun kemarin beli kue disini tapi harganya naik dulu cuma 77 500 sekarang 90 000 tapi gapapa pengiriman cepat terimakasih,5
kondisi kuenya bagus utuh semua gada yg remuk,5
ini biskuit favorit sayang yg warna biru nya udah ga ada,5
exp jauh hanya packingnya untung ga remuk,5
seneng belanja disini packingnya rapih thank u seller,5
dari dulu suka,5
terimakasih paket sudah saya terima dengan baik,5
packagingnya rapih banget,5
cepet banget pengiriman nya kue aman banget gak ada yg pecah muluusss beneerran enak kue nya recomended top tq,5
kirim ke luar kota sampai dengan selamat gak ada yg hancur packing aman dengan dus bubble enak bgt katanyaa,5
pelayanannya bagus gercep banget untuk rasanya tdk perlu diragukan lagi approved,5
puas banget sehari lgsg sampai respond bagus pengirimannya cepat produknya,5
wah cepat sekali sampainya nih baru pertama kali beli mudah mudahan cocok nih terimakasih,5
gilaaa ini kalo bs kasi bintang 10 kukasi pun jd krn ekspedisi nya lelet bgt smpe ditempat ku pas seminggu aq khawatir roti rusak dll pdhl ga marah2 loh chat via admin wa alhasil dikirim yg baru looohh dg pelayanan lbh cepet cm 3 hari hebaaatt hebaaat serbis juwaraaakkk makasiiihhhh yaaaa oh iya cake yg milk ini enakkk bgt rasanya spt roti mahaaall juwaraakk rasa juwaraak servis,5
suka enak ga terlalu manis,5
packagingnya bgs hrg terlalu mhl,4
beli ini untuk teman di luar kota pengemasan dan pengirimannya cepat banget thank you seller,5
excellent team dan great taste,5
enak rasanya sy akan beli lagi,5
pokoknya ga bs2 berkata2 deh uenaaknya polll dijamin ketagihan nih,5
selalu puas dan selalu suka belanja disini penjual juga sangat interaktif,5
sellernya baik citarasa cookiesnya jg ok,5
enak hanya agak kemanisan,4
pengiriman cepet respon cepet barang bagus terima kasih sukses selalu,5
nutella nya melting banget,5
always love,5
pengiriman cepat dan barang sesuai,5
one of the best if not the best canele ive had,5
mantapp proses cepat sekali yummy canele,5
kuenya enak tp packing nya sangat kurang safe ya terlebih di masa pandemi gini cuma dikasi 1 telo bag dan ga di knot or anything bahkan ga di lem juga,2
sellernya baik n sabar banget udah order eh ternyata ganti alamat sellernya sabar kasih tau gimana caranya kuenya coklat banget buat coklat lover ini oke banget,5
saya sangat puas mulai dari respon layananan keramahan dan dekorasi kuex sangat puas tuhan berkati usaha pelapak dan semoga bisa selalu membawa kebahagiaan bagi siapa saja yang memesan kue di toko ini bintang 100000000000 kualitas 100000000,5
pembelian ke 2 puas banget dgn komposisi coklatnya very recommended,5
mantab jiwa the best lah,5
debest bangettt lah pokonya ngorder nya dr papua donggz manteep,5
respon cepat pengiriman tepat waktu kue juga bagus banget hiasannya rekomended,5
respon cepat pengiriman cepat juga,5
kuenya mewah high quality everyone love it familys day time,5
sekarang bisa menikmati momoiro di rumah gak bosen2 sama chizu ini enak banget packing juga selalu rapi dan aman terima kasih momoiro dan kk adminnya yg ramah,5
paling suka dengan chizu ini kakak adminnya baik request saya dipenuhi packing sangat rapi pengiriman juga cepat terima kasih kak,5
enak tp enakan original,5
gak nyangka kualitas momoiro hancur separah ini temen dah bilang nanti kecewa tapi saya kekeuh beli karena dulu enak kok tapi ini bener2 mengecewakan,1
jiggly jiggly jiggly,5
barang sudah diterima kualitas dan kondisi barang baik,5
enak banget cakenya fluppy super moiss bgt,5
empuk lembut sih tp kurang special yg plg rekomend itu biskuit caramel butter nya biskuit terenak,5
ok tp pengiriman kurang ok sameday baru dipickup jam 2siang sudah order dr malam sebaiknya kl sameday request pickup pagian biar sampai cust tidak kemalaman,3
seller sangat ramah responsif dan helpfull thank youu,5
mantap lah pokoknya,5
sesuai expektasi rasanya juga sangat enak pengiriman juga sesuai jadwal terimakasih banyak yaa,5
udah 2 x pesen dsini selalu suka fast respon recommended deh pokoknya bakal selalu jadi langganan untuk hari2 spesial,5
nice bithday cake,5
embaknya bertanggung jwb sekali bagus banget puas pdhl aku ngerepotin sekali tapi ttp di layani,5
pengiriman tepat waktu seller jg aktiv dan kuenya sesuai dengan gambar dan pesanan thank you,5
terimakasih rasanya enak anak saya suka apalagi ps lihat ada permenya langsung pengin dcabuttuh permen kuenya jg enak respon penjualnya jg cepet thanks ya,5
mantap barang sudah sampai,5
pengiriman cepat sekali dan harga murah dan kualitas barang oke,5
respon cepat pesanan sesuai recomend banget makasih yah,5
senang banget order krispy kreme di tokped kakak adminnya ramah dan fast respon packing sangat rapi dan aman donut2nya masih cantik dan enakkk terima kasih ya kak,5
rasa dan kualitas memuaskan pengiriman cepat,5
sukaaakkk banget bisa cemilin donat dgn topping favoritku,5
terima kasih donatnya sudah sampai,5
cepat tepat barang sampai pelanggan puas dengan kualitasnya,5
oke mantap,5
sip enak packingan jg oke,5
thanks gan barang dikemas rapi bagus harga juga wowww murah bgt,5
di informasi produk berat 500 gram ternyata pas datang kue nya hanya kecil ga sampai 500 gram itu,5
tp tumpah2 cakenya ancur,5
kurang sukaa jujur rasanya kurang cocok di aku tp pengiriman baik sih,5
enaaakk happy dpt harga promo,5
mantaabbbb,5
okeee pengiriman cepatt bgt mlm2 itu juga dikirim,4
cakenya tdk terlalu manis mknya ga heran ada yg review blg ga ada rasa krn thai tea mmg biasanya manis bgt kan so its good but i like the strawberry cheesecake better,5
cheesecake nya abis diganti sama regal chocolate kuenya enak mksh fsnya,4
cake nya enak tapi kemasannya harusnya diganti karna kue nya meleleh luber ke kotak nya,3
okay,5
mungil tahan dibawa2 buat foto bday outdoor,5
cakepppppp dan expresss bgt h 1 order pagi2 lgsung dikirim mantabbb,5
kuenya sudah sampai pacar saya juga suka sama rasanya katanya gemesh banget thank youuu,5
alhamdulillah mantabbbbbbbb,5
fast response lucu imoet,5
sudah langganan beberapa x beli di sini kue lucu pengiriman cepat admin ramah thanks ya,5
penjual responnya cepat pengiriman walaupun pake grabbike aman dan rapi banget produknya sesuai harapan dan rasanya enyaaak makasiiih yaah semoga sukses dan bakal repeat order produk2 lain makasih,5
